drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	a333513c6510da3ce2133637026434414e425cace35a26220565fb72	242673069		EXCLUDED_INACTIVE	false	547		false	547	547	false
0	f0dc3f19400034bca510c02c3dbf5eed0416a1e206539fb9af428190	218054964		EXCLUDED_INACTIVE	false	543		false	543	543	false
0	1949cfe83163836635771f6c5d73ca2b3cbf8267e25e9fe3f890b57e	196498883		EXCLUDED_INACTIVE	false	569		false	569	569	false
0	a7c175a99621b72587246a947093418c6bdc574ef20e5136391654e3	186637295		NON_VOTER_NO	true	593		true	593	593	true
0	74fb439f4f2525ffa87fd8afa30d20b0637bba49b6406d8e948ef0a1	185124821		NON_VOTER_NO	true	580		true	580	580	true
0	6d278414e8bc4bec1e6e54eebafd6015fe46b34a193e3e60320f6868	175452372		NON_VOTER_NO	true	594	574	true	594	594	true
0	3d9cd05283f802c6c02d4f5e5baa99122a25716cadd6bcaccb91d6f1	153535972		EXCLUDED_INACTIVE	false	549		false	549	549	false
0	0ab0ab2ed4ccb82439a54f4afbcca133debc3235fa6451f21dadb247	147774108		EXCLUDED_INACTIVE	false	550		false	550	550	false
0	294362ff7e8042d47efe78d26c609332297aa41ab9e06878fdd6900a	140622797		EXCLUDED_INACTIVE	false	547		false	547	547	false
0	4046e6460fc78d0b342382faed99eff777cb99ddf4bb748c0ebd16fa	140387405		EXCLUDED_INACTIVE	false	529		false	529	529	false
0	36aa9f38625f11d464cbb848c3efccb28a6d671dab78be0907f71989	138431636		EXCLUDED_INACTIVE	false	558		false	558	558	false
0	9f137fb73181bd1260f2d4b4bce0c02ecc33f9a2fe606f25980f0ad5	138396271		NON_VOTER_NO	true	593		true	593	593	true
0	9449c9677cc93f5cc98e544e28c5ddb78fbee6eaa6bd95eef5e38f5d	138152873		EXCLUDED_INACTIVE	false	562		false	562	562	false
0	20cd3ae83c964f55ea6f3cd77fd2a01758f75b95eae68bbb54631121	120725322		EXCLUDED_INACTIVE	false	569		false	569	569	false
0	514fa936a8560a74d5c1dda61043024a87552bcccc7f1c1c157ea2fa	119905872		NON_VOTER_NO	true	589		true	589	589	true
0	014cc6a438a6586684f92e01749df00dbba34a80b59cec6e50690942	115143118		EXCLUDED_INACTIVE	false	571	547	false	571	571	false
0	49e63c2e096067862bce3313e2df1bb7285b677f7899c4f9c38da95e	107813731		NON_VOTER_NO	true	587		true	587	587	true
0	8f8f667fd3742de3cc752e81e65f77d555b267b90f2147144536383a	104099303		EXCLUDED_INACTIVE	false	529		false	529	529	false
0	3eed6136d8cbfc4cbef4a505b88f839dc24af336aa1982aebd07838e	97630542		EXCLUDED_INACTIVE	false	531		false	531	531	false
0	924c9ff14288e556af76e62273f853b2c3cd5142baeb77189a01d339	85343793		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	8b7ba9a428957a019e7b564e5ec4c461ea7a42c50bdb0e40454beff1	84427319		EXCLUDED_INACTIVE	false	549		false	549	549	false
0	5133c0c14eb6b45c091d92c691b1b92dfb151ef7f41bf49ce178d684	82997143		NON_VOTER_NO	true	591		true	591	591	true
0	ce06bcf03f492261a39e7e3a28423de81859c08c4df091b7bf9aaddb	75524973		EXCLUDED_INACTIVE	false	573		false	573	573	false
0	96fde8c4801e3398e51084c1b24916b8e39fb02334a826e99bbd8bb5	72500209		EXCLUDED_INACTIVE	false	562		false	562	562	false
